year,strategy_return_pct,vni_return_pct,edge_vs_vni_pp,pass_vni20,pass_vni30
2016,11.757209900000088,15.74833307219583,-3.991123172195742,False,False
2017,14.291429726361017,48.03495420157324,-33.743524475212226,False,False
2018,11.024585794545882,-9.316833292692838,20.34141908723872,True,False
2019,-8.578003681105129,7.669124072870681,-16.24712775397581,False,False
2020,14.828553852148874,14.868000707603613,-0.039446855454739804,False,False
2021,146.51338020385091,35.72975078587153,110.78362941797938,True,True
2022,20.467010300898725,-32.78359185199028,53.250602152889,True,True
2023,45.85483664413861,12.197519586134309,33.657317058004296,True,True
2024,70.27900510219433,12.111369730868283,58.16763537132605,True,True
2025,71.42861699787366,40.86818547814144,30.56043151973222,True,True
2026,37.96259489283425,5.690141160779838,32.27245373205441,True,True
